pulse_width, minA
10, 100.7080078125
20, 97.705078125
30, 97.6318359375
40, 97.6318359375
50, 97.6318359375
60, 97.6318359375
70, 97.6318359375
80, 97.6318359375
90, 97.6318359375
100, 97.6318359375
