cell_id,fr_state,nrg_state,reward,terminated,truncated,cumulative_reward,average_reward
8,-4.0,6.510646e-05,-0.21221919818675483,0,0,-0.21221919818675483,-0.21221919818675483
8,19.0,8.516088e-05,-0.1695463494852778,0,0,-0.38176554767203263,-0.19088277383601632
8,6.0,8.7500426e-05,-0.20734044476306407,0,0,-0.5891059924350968,-0.19636866414503226
8,18.0,7.5518146e-05,-0.16263088746821847,0,0,-0.7517368799033153,-0.18793421997582882
8,41.0,0.00010215309,-0.12653855248248544,0,0,-0.8782754323858007,-0.17565508647716016
8,10.0,5.848526e-05,-0.16741616292750802,0,0,-1.0456915953133088,-0.17428193255221813
8,2.0,4.073719e-05,-0.1714862899378535,0,0,-1.2171778852511623,-0.17388255503588032
8,4.0,7.509624e-05,-0.20039079948222605,0,0,-1.4175686847333884,-0.17719608559167355
8,0.0,4.9874252e-05,-0.18607788844859569,0,0,-1.603646573181984,-0.178182952575776
8,41.0,5.844156e-05,-0.082827015359759,0,0,-1.686473588541743,-0.1686473588541743
8,18.0,0.00012896718,-0.21607991619861094,0,0,-1.902553504740354,-0.17295940952185035
8,4.0,2.181528e-05,-0.14710983647859066,0,0,-2.0496633412189444,-0.17080527843491203
8,12.0,5.383611e-05,-0.15731247230327097,0,0,-2.2069758135222153,-0.16976737027093963
8,4.0,9.3388546e-05,-0.21868310137546032,0,0,-2.4256589148976757,-0.1732613510641197
8,-7.0,0.000112015776,-0.26731032892024487,0,0,-2.6929692438179207,-0.17953128292119472
8,17.0,0.00010878467,-0.19862468405520883,0,0,-2.8915939278731297,-0.1807246204920706
8,17.0,0.000115208946,-0.20504895611560314,0,0,-3.096642883988733,-0.18215546376404312
8,27.0,0.00010722383,-0.16979110403811898,0,0,-3.266433988026852,-0.18146855489038066
8,16.0,9.007903e-05,-0.18264631195819347,0,0,-3.4490802999850456,-0.18153054210447608
8,-22.0,8.613788e-05,-0.2823415116862055,0,0,-3.731421811671251,-0.18657109058356255
8,10.0,4.2340773e-05,-0.15127167268550362,0,0,-3.882693484356755,-0.18489016592175023
8,25.0,7.315393e-05,-0.1411757485464808,0,0,-4.023869232903236,-0.1829031469501471
8,20.0,9.804492e-05,-0.17970311804568734,0,0,-4.203572350948923,-0.1827640152586488
8,4.0,0.00011205205,-0.23734660311496225,0,0,-4.440918954063885,-0.18503828975266187
8,25.0,6.513915e-05,-0.13316096826350654,0,0,-4.574079922327392,-0.18296319689309568
8,27.0,8.053002e-05,-0.1430972950056788,0,0,-4.71717721733307,-0.18142989297434886
8,-8.0,8.0835365e-05,-0.2388571815088984,0,0,-4.956034398841968,-0.18355682958673955
8,-22.0,8.3616964e-05,-0.27982059880053967,0,0,-5.235854997642508,-0.18699482134437528
8,-2.0,6.138673e-05,-0.2030449108675715,0,0,-5.43889990851008,-0.18754827270724414
8,35.0,7.448127e-05,-0.11523034735476939,0,0,-5.554130255864849,-0.18513767519549498
